1,CD,1
1731,CD,1
1853,CD,2
30,CD,1
90,CD,1
9d,CD,1
a,DT,7710
aback,RB,1
abandon,VB,7
abandoned,JJ,2
abandoned,VBD,1
abandoned,VBN,10
abandoning,VBG,1
abandons,VBZ,2
abashed,JJ,2
abashed,VBD,1
abashed,VBN,2
abated,VBD,1
abated,VBN,1
abbey,JJ,1
abear,JJ,1
abed,VBN,1
abeyance,NN,1
abhorrence,NN,1
abilities,NNS,4
ability,NN,4
abjured,VBN,1
able,JJ,73
ablutions,NNS,1
aboard,IN,2
abode,NN,4
abolish,VB,2
abolition,NN,1
abominable,JJ,2
abomination,NN,2
aboot,NN,1
abortion,NN,1
abounded,VBD,1
about,IN,647
about,RB,43
about,VBP,1
above,IN,47
above,JJ,1
above,VB,3
abreast,NN,2
abridge,VBP,1
abroad,RB,13
abrupt,JJ,2
abruptly,RB,3
abruptness,NN,2
absence,NN,13
absence,VB,1
absent,JJ,6
absent,NN,3
absent,VBN,1
absolute,JJ,2
absolutely,RB,8
absorb,VB,1
absorbed,JJ,2
absorbed,RP,1
absorbed,VBD,1
absorbed,VBN,6
absorbing,VBG,2
absorbs,VBZ,1
abstain,VB,1
abstain,VBP,1
abstract,NN,1
abstracted,JJ,2
abstracted,VBN,1
abstractedly,RB,2
abstraction,NN,4
abstracts,VBZ,1
absurd,JJ,8
absurd,NN,1
absurd,RB,1
absurd,VBD,1
absurdity,NN,1
absurdly,RB,1
abt,VBN,1
abundance,NN,1
abundant,JJ,3
abundantly,RB,2
abused,JJ,1
abuses,NNS,2
abusive,JJ,1
abyss,NN,1
academy,NN,9
accede,VB,1
accede,VBP,1
acceded,VBN,1
accent,NN,1
accents,NNS,1
accept,IN,5
accept,NN,1
accept,VB,14
accept,VBD,1
accept,VBP,2
acceptable,JJ,4
acceptance,NN,6
acceptance,VB,1
accepted,VBD,8
accepted,VBN,6
accepting,VBG,2
accepts,VBZ,4
access,NN,3
accessible,JJ,1
accession,NN,2
accident,NN,12
accidental,JJ,7
accidentally,RB,8
accidents,NNS,3
acclamations,NNS,1
accommodate,NN,1
accommodate,VB,4
accommodated,VBD,1
accommodated,VBN,1
accommodation,NN,4
accompanied,JJ,1
accompanied,VBD,3
accompanied,VBN,11
accompanies,NNS,1
accompanies,VBZ,4
accompaniment,NN,3
accompany,VB,5
accompanying,VBG,4
accomplice,NN,1
accomplices,NNS,1
accomplished,JJ,3
accomplished,NNS,1
accomplished,VBD,3
accomplished,VBN,6
accomplishes,VBZ,1
accomplishing,VBG,1
accomplishment,NN,2
accomplishments,NNS,3
accord,NN,4
accordance,NN,2
according,VBG,40
accordingly,RB,10
account,NN,74
account,VB,7
account,VBP,1
accountabilities,NNS,1
accountability,NN,1
accountable,JJ,4
accountant,JJ,3
accountant,NN,1
accounted,VBD,1
accounted,VBN,1
accounting,NN,1
accounts,NNS,16
accounts,VBZ,1
accoutrements,NNS,2
accredited,VBD,1
accumulate,VB,1
accumulated,JJ,1
accumulated,VBN,1
accumulating,VBG,1
accumulation,NN,4
accuracy,NN,4
accurate,JJ,1
accurate,NN,1
accurately,RB,2
accursed,JJ,2
accusation,NN,2
accuse,VB,3
accused,VBD,1
accused,VBN,5
accuser,NN,1
accusing,VBG,2
accustom,VB,1
accustomed,JJ,9
accustomed,VBD,6
accustomed,VBN,10
acerbity,NN,1
ache,NN,4
ache,RP,1
ache,VBP,1
ached,VBD,1
ached,VBN,1
aches,NNS,2
achieved,VBN,2
achievement,NN,1
achievements,NNS,1
achieves,VBZ,1
aching,VBG,2
acids,VBZ,1
ackney,NN,1
acknowledge,VB,6
acknowledged,JJ,2
acknowledged,VBD,4
acknowledges,VBZ,4
acknowledging,VBG,2
acknowledgment,NN,6
acknowledgments,NNS,3
acquaintance,IN,1
acquaintance,NN,25
acquaintances,NNS,2
acquainted,JJ,3
acquainted,VBN,24
acquiesced,VBD,1
acquiescence,NN,1
acquiescence,VB,2
acquiescent,NN,1
acquiesces,NNS,1
acquiescing,VBG,1
acquire,VB,4
acquired,JJ,1
acquired,VBD,2
acquired,VBN,8
acquires,VBZ,1
acquiring,VBG,1
acquisition,NN,4
acquitted,VBD,1
acquitted,VBN,2
acre,NN,1
across,IN,58
across,NN,1
across,RB,1
act,IN,1
act,NN,16
act,VB,13
act,VBP,3
acted,JJ,1
acted,VBN,3
acting,VBG,3
action,NN,27
actions,NNS,6
active,JJ,25
actively,RB,2
activity,NN,1
actors,NNS,3
acts,NNS,2
acts,VBZ,2
actual,JJ,4
actually,RB,8
actuated,VBN,2
acute,JJ,1
acute,NN,1
ada,IN,22
ada,JJ,57
ada,NN,196
ada,NNS,21
ada,PDT,2
ada,RB,33
ada,RP,7
ada,VB,49
ada,VBD,2
ada,VBG,1
ada,VBN,3
ada,VBP,14
ada,VBZ,2
adage,NN,1
adages,NNS,1
adamant,JJ,1
adamant,NN,1
adapt,VB,1
adaptability,NN,1
adapted,JJ,1
adapted,VBD,2
adapted,VBN,3
adapting,VBG,1
adapts,VBZ,1
adas,NN,1
add,JJ,1
add,VB,17
add,VBP,2
added,VBD,30
added,VBN,3
adding,VBG,6
addition,NN,8
additional,JJ,3
address,NN,15
address,VB,6
address,VBP,1
addressed,JJ,2
addressed,VBD,14
addressed,VBN,7
addresses,NNS,1
addresses,VBZ,10
addressing,VBG,20
adds,VBZ,22
adequate,JJ,1
adherent,NN,1
adieu,NN,2
adieu,VB,1
adjacent,JJ,3
adjective,JJ,1
adjective,NN,1
adjoining,JJ,2
adjoining,NN,1
adjoining,VBG,3
adjourned,VBD,1
adjourned,VBN,1
adjuration,NN,1
adjurations,NNS,1
adjured,VBD,1
adjuring,VBG,1
adjust,VB,1
adjusted,JJ,2
adjusted,VBN,2
adjusting,VBG,12
adjustment,NN,2
adjusts,NNS,1
adjusts,VBZ,5
administer,VB,3
administered,VBD,1
administered,VBN,1
administration,NN,5
administrative,JJ,1
administrator,NN,1
administrators,NNS,1
admirable,JJ,3
admirably,RB,2
admiralty,NN,2
admiration,NN,23
admire,VB,6
admire,VBP,3
admired,JJ,3
admired,VBD,8
